"unigram","bigram","freq"
"horner","free",16
"horns","whistles",16
"hot","air",16
"house","bout",16
"house","lol",16
"idea","follow",16
"impact","u",16
"inc","terrain",16
"ingram","morning",16
"innocent","crush",16
"interesting","see",16
"invite","can",16
"ithoughtyouwerecuteuntil","told",16
"jane","sassaman",16
"jenn","skililla",16
"jewelrys","days",16
"joel","dewberry",16
"juice","toast",16
"julep","recipes",16
"just","added",16
"just","called",16
"just","getting",16
"justin","bieber",16
"kabuki","eandl",16
"kaffe","fassett",16
"kaleidoscope","gypsy",16
"kate","spain",16
"kaufman","aviary",16
"kaufman","fresh",16
"kaufman","solids",16
"kaufman","tonal",16
"kaufman","various",16
"keep","mind",16
"kensington","studio",16
"kick","ass",16
"kim","saying",16
"knew","ve",16
"know","answer",16
"know","get",16
"know","just",16
"know","yes",16
"kona","orange",16
"kona","solids",16
"l","flickr",16
"lake","rt",16
"last","nights",16
"last","tweet",16
"laura","ingram",16
"law","day",16
"learning","stuff",16
"left","robert",16
"let","madness",16
"life","mummysan",16
"like","asshole",16
"like","make",16
"like","orange",16
"like","see",16
"like","talking",16
"like","will",16
"line","dance",16
"list","tonight",16
"little","pieces",16
"little","think",16
"live","ur",16
"living","circles",16
"local","beer",16
"locks","best",16
"looking","help",16
"looking","poker",16
"love","place",16
"love","site",16
"love","talk",16
"love","toast",16
"love","weather",16
"madness","writers",16
"mahone","fool",16
"make","others",16
"makes","pee",16
"makes","really",16
"man","asks",16
"manning","broncos",16
"many","friends",16
"maria","horner",16
"material","things",16
"maxfield","michael",16
"may","call",16
"may","little",16
"may","work",16
"maybe","anna",16
"measured","amount",16
"measured","material",16
"message","account",16
"metro","living",16
"michael","damore",16
"might","good",16
"might","take",16
"miller","aldo",16
"miller","metro",16
"mingle","monaluna",16
"mint","julep",16
"mistakes","blamed",16
"moda","floralicious",16
"moda","garden",16
"moda","grad",16
"moda","mingle",16
"monaluna","robert",16
"moon","moda",16
"multiple","air",16
"mummysan","robert",16
"ndsu","graduation",16
"new","adventures",16
"next","ipad",16
"next","month",16
"nixon","speak",16
"nothing","makes",16
"now","got",16
"now","looking",16
"now","save",16
"o","cake",16
"odonnellppl","delaware",16
"offer","twitter",16
"oh","know",16
"okay","cause",16
"old","surprised",16
"onward","bloomington",16
"orange","family",16
"orange","goodie",16
"orange","scraps",16
"orangesmainly","stash",16
"others","work",16
"oz","sanae",16
"pack","brights",16
"parking","lot",16
"past","present",16
"patty","young",16
"pb","textiles",16
"pee","smell",16
"people","dont",16
"per","cent",16
"peyton","manning",16
"picture","comes",16
"piece","o",16
"pieces","left",16
"pillow","maxfield",16
"play","basketball",16
"play","game",16
"please","share",16
"poker","tournaments",16
"popular","demand",16
"ppl","hahah",16
"published","ideas",16
"qb","rotation",16
"quilting","treasures",16
"quit","somebody",16
"really","glad",16
"really","miss",16
"refuse","let",16
"revit","templates",16
"right","hands",16
"rockets","far",16
"rogers","studio",16
"roster","spurs",16
"roster","years",16
"rotation","asinine",16
"rowan","line",16
"rt","air",16
"rt","deserves",16
"rt","local",16
"rt","wait",16
"said","republican",16
"said","will",16
"sale","starts",16
"sanae","moda",16
"sandals","adorable",16
"sassaman","free",16
"say","stuff",16
"saying","crack",16
"school","bus",16
"scraps","michelle",16
"search","cab",16
"season","laid",16
"see","et",16
"see","everyone",16
"see","may",16
"sexy","belches",16
"shit","ever",16
