"unigram","bigram","trigram","freq"
"monaluna","robert","kaufman",16
"moon","moda","grad",16
"much","everything","list",16
"multiple","air","horns",16
"mummysan","robert","kaufman",16
"nothing","makes","feel",16
"now","little","think",16
"now","looking","poker",16
"o","cake","designs",16
"odonnellppl","delaware","ashamed",16
"offer","twitter","specials",16
"okay","cause","account",16
"onward","bloomington","see",16
"orange","family","solids",16
"orange","goodie","bag",16
"orange","scraps","michelle",16
"orangesmainly","stash","small",16
"others","work","changing",16
"oz","sanae","moda",16
"pack","brights","kona",16
"patty","young","michael",16
"pb","textiles","kensington",16
"pee","smell","funny",16
"peyton","manning","broncos",16
"piece","o","cake",16
"pieces","left","robert",16
"pillow","maxfield","michael",16
"play","basketball","know",16
"please","contact","us",16
"poker","tournaments","later",16
"popular","demand","ciao",16
"pretty","much","everything",16
"qb","rotation","asinine",16
"quilting","treasures","simon",16
"quit","somebody","else",16
"really","happy","search",16
"refuse","let","madness",16
"revit","templates","great",16
"right","now","looking",16
"robert","kaufman","aviary",16
"robert","kaufman","fresh",16
"robert","kaufman","solids",16
"robert","kaufman","tonal",16
"robert","kaufman","various",16
"rockets","far","multiple",16
"rogers","studio","pb",16
"roster","spurs","roster",16
"roster","years","old",16
"rowan","line","dance",16
"rt","air","laura",16
"rt","deserves","deal",16
"rt","local","beer",16
"rt","u","think",16
"rt","wait","next",16
"sale","starts","week",16
"sanae","moda","floralicious",16
"sassaman","free","spirit",16
"say","stuff","like",16
"saying","crack","know",16
"school","bus","coral",16
"scraps","michelle","l",16
"search","cab","twitter",16
"see","et","al",16
"see","everyone","else",16
"simon","kabuki","eandl",16
"site","fear","cats",16
"size","smaller","kona",16
"skililla","rogers","studio",16
"sleep","buy","wigs",16
"small","yardage","approximately",16
"smaller","kona","orange",16
"smother","sleep","buy",16
"solids","challenge","charm",16
"solids","little","pieces",16
"solids","school","bus",16
"somebody","else","will",16
"someone","u","say",16
"something","together","booksicals",16
"spain","moda","mingle",16
"spanish","speaking","hacker",16
"speaking","hacker","even",16
"specials","might","good",16
"spirit","day","life",16
"spirit","innocent","crush",16
"spirit","treasures","tidbits",16
"spirit","woodland","friends",16
"sponsor","c","beer",16
"spurs","roster","years",16
"squeaky","sandals","adorable",16
"start","crap","kim",16
"starts","week","check",16
"stash","small","yardage",16
"stop","trying","change",16
"strain","moda","garden",16
"studio","pb","textiles",16
"studio","quilting","treasures",16
"success","measured","material",16
"take","hold","dammit",16
"talk","something","together",16
"talking","bacon","cooks",16
"taza","dena","free",16
"templates","great","find",16
"terrain","kate","spain",16
"texas","qb","rotation",16
"textiles","kensington","studio",16
"thanks","following","love",16
"things","measured","amount",16
"think","disengage","brain",16
"tidbits","piece","o",16
"time","w","veronique",16
"together","smother","sleep",16
"told","asparagus","makes",16
"tonal","kaleidoscope","gypsy",16
"tonight","now","little",16
"tournaments","later","week",16
"treasures","simon","kabuki",16
"treasures","tidbits","piece",16
"true","start","crap",16
"trying","change","others",16
"tweet","message","account",16
"tweet","us","names",16
"twitter","dab","picture",16
"twitter","specials","might",16
"u","quit","somebody",16
"u","say","stuff",16
"u","ur","ability",16
"ur","ability","bless",16
"v","juice","toast",16
"various","wonderful","orange",16
"ve","brought","bottle",16
"vegas","right","now",16
"veronique","learning","stuff",16
"vs","odonnellppl","delaware",16
"w","veronique","learning",16
"wait","next","ipad",16
