"unigram","bigram","trigram","quadgram","freq"
"just","called","austin","mahone",16
"kabuki","eandl","design","inc",16
"kaffe","fassett","rowan","line",16
"kaleidoscope","gypsy","bandana","pillow",16
"kate","spain","moda","mingle",16
"kaufman","aviary","joel","dewberry",16
"kaufman","fresh","flowers","deb",16
"kaufman","solids","challenge","charm",16
"kaufman","tonal","kaleidoscope","gypsy",16
"kaufman","various","wonderful","orange",16
"kensington","studio","quilting","treasures",16
"kick","ass","finish","chapter",16
"kim","saying","crack","know",16
"knew","ve","brought","bottle",16
"know","someone","u","say",16
"know","yes","just","called",16
"kona","orange","family","solids",16
"kona","solids","school","bus",16
"l","flickr","like","orange",16
"lake","rt","u","think",16
"las","vegas","right","now",16
"later","week","cash","games",16
"left","robert","kaufman","solids",16
"let","madness","writers","block",16
"life","mummysan","robert","kaufman",16
"like","asshole","writing","bios",16
"like","orange","goodie","bag",16
"line","dance","oz","sanae",16
"list","tonight","now","little",16
"little","pieces","left","robert",16
"little","think","disengage","brain",16
"living","circles","robert","kaufman",16
"local","beer","distbrewery","looking",16
"locks","best","deal","year",16
"looking","help","sponsor","c",16
"looking","poker","tournaments","later",16
"love","site","fear","cats",16
"love","talk","something","together",16
"love","weather","makes","want",16
"madness","writers","block","take",16
"makes","feel","like","asshole",16
"makes","pee","smell","funny",16
"makes","really","happy","search",16
"makes","want","go","lake",16
"manning","broncos","sick","af",16
"maria","horner","free","spirit",16
"material","things","measured","amount",16
"maxfield","michael","miller","aldo",16
"may","work","together","smother",16
"maybe","anna","maria","horner",16
"measured","amount","impact","u",16
"measured","material","things","measured",16
"message","account","okay","cause",16
"metro","living","circles","robert",16
"michael","damore","benartex","taza",16
"michael","miller","aldo","fo",16
"michael","miller","metro","living",16
"michelle","l","flickr","like",16
"might","good","idea","follow",16
"miller","aldo","fo","zippy",16
"miller","metro","living","circles",16
"mingle","monaluna","robert","kaufman",16
"mistakes","blamed","draftees","errors",16
"moda","floralicious","michael","damore",16
"moda","garden","divas","jane",16
"moda","grad","bazaar","patty",16
"moda","mingle","monaluna","robert",16
"monaluna","robert","kaufman","various",16
"moon","moda","grad","bazaar",16
"much","everything","list","tonight",16
"multiple","air","horns","whistles",16
"mummysan","robert","kaufman","aviary",16
"nothing","makes","feel","like",16
"now","little","think","disengage",16
"now","looking","poker","tournaments",16
"o","cake","designs","robert",16
"odonnellppl","delaware","ashamed","odonnell",16
"offer","twitter","specials","might",16
"okay","cause","account","allow",16
"onward","bloomington","see","et",16
"orange","family","solids","little",16
"orange","goodie","bag","swap",16
"orange","scraps","michelle","l",16
"orangesmainly","stash","small","yardage",16
"others","work","changing","world",16
"oz","sanae","moda","floralicious",16
"pack","brights","kona","solids",16
"patty","young","michael","miller",16
"pb","textiles","kensington","studio",16
"peyton","manning","broncos","sick",16
"piece","o","cake","designs",16
"pieces","left","robert","kaufman",16
"pillow","maxfield","michael","miller",16
"poker","tournaments","later","week",16
"popular","demand","ciao","bella",16
"pretty","much","everything","list",16
"quilting","treasures","simon","kabuki",16
"quit","somebody","else","will",16
"really","happy","search","cab",16
"refuse","let","madness","writers",16
"revit","templates","great","find",16
"right","now","looking","poker",16
"robert","kaufman","aviary","joel",16
"robert","kaufman","fresh","flowers",16
"robert","kaufman","solids","challenge",16
"robert","kaufman","tonal","kaleidoscope",16
"robert","kaufman","various","wonderful",16
"rockets","far","multiple","air",16
"rogers","studio","pb","textiles",16
"roster","spurs","roster","years",16
"roster","years","old","surprised",16
"rowan","line","dance","oz",16
"rt","air","laura","ingram",16
"rt","deserves","deal","tweet",16
"rt","local","beer","distbrewery",16
"rt","wait","next","ipad",16
"sale","starts","week","check",16
"sanae","moda","floralicious","michael",16
"sassaman","free","spirit","day",16
"saying","crack","know","someone",16
"school","bus","coral","kaffe",16
"scraps","michelle","l","flickr",16
"search","cab","twitter","dab",16
"see","et","al","road",16
"see","everyone","else","posting",16
"simon","kabuki","eandl","design",16
"site","fear","cats","may",16
"size","smaller","kona","orange",16
"skililla","rogers","studio","pb",16
"small","yardage","approximately","fq",16
"smaller","kona","orange","family",16
"smother","sleep","buy","wigs",16
"solids","challenge","charm","pack",16
"solids","little","pieces","left",16
"solids","school","bus","coral",16
"somebody","else","will","live",16
"someone","u","say","stuff",16
"spain","moda","mingle","monaluna",16
"spanish","speaking","hacker","even",16
"speaking","hacker","even","love",16
"specials","might","good","idea",16
"spirit","day","life","mummysan",16
"spirit","innocent","crush","maybe",16
"spirit","treasures","tidbits","piece",16
"spirit","woodland","friends","ellen",16
"sponsor","c","beer","garden",16
"spurs","roster","years","old",16
"start","crap","kim","saying",16
"starts","week","check","daily",16
"stash","small","yardage","approximately",16
"stop","trying","change","others",16
"strain","moda","garden","divas",16
"studio","pb","textiles","kensington",16
"studio","quilting","treasures","simon",16
"success","measured","material","things",16
"take","hold","dammit","going",16
"talk","something","together","booksicals",16
"talking","bacon","cooks","differently",16
"taza","dena","free","spirit",16
"templates","great","find","mistakes",16
"terrain","kate","spain","moda",16
"texas","qb","rotation","asinine",16
"textiles","kensington","studio","quilting",16
"thanks","following","love","talk",16
"things","measured","amount","impact",16
"tidbits","piece","o","cake",16
"time","w","veronique","learning",16
"together","smother","sleep","buy",16
"told","asparagus","makes","pee",16
"tonal","kaleidoscope","gypsy","bandana",16
"tonight","now","little","think",16
"tournaments","later","week","cash",16
"treasures","simon","kabuki","eandl",16
"treasures","tidbits","piece","o",16
"true","start","crap","kim",16
"trying","change","others","work",16
"tweet","message","account","okay",16
